filepath,dataset,speaker_id,emotion_raw,emotion,split
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session2\sentences\wav\Ses02F_script02_2\Ses02F_script02_2_M046.wav,IEMOCAP,Ses02F,hap,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03F_impro03\Ses03F_impro03_M005.wav,IEMOCAP,Ses03F,exc,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1025_MTI_SAD_XX.wav,CREMA-D,1025,SAD,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03F_impro08\Ses03F_impro08_F028.wav,IEMOCAP,Ses03F,neu,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1088_WSI_SAD_XX.wav,CREMA-D,1088,SAD,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04F_script01_2\Ses04F_script01_2_M017.wav,IEMOCAP,Ses04F,ang,angry,train
C:\Code\Python\data\RAVDESS\Actor_23\03-01-05-01-02-02-23.wav,RAVDESS,23,05,angry,train
C:\Code\Python\data\CREMA-D\AudioWAV\1026_IEO_SAD_LO.wav,CREMA-D,1026,SAD,sad,train
C:\Code\Python\data\CREMA-D\AudioWAV\1032_IEO_SAD_MD.wav,CREMA-D,1032,SAD,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session5\sentences\wav\Ses05M_impro01\Ses05M_impro01_F002.wav,IEMOCAP,Ses05M,neu,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04M_impro05\Ses04M_impro05_F006.wav,IEMOCAP,Ses04M,neu,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04F_impro07\Ses04F_impro07_F059.wav,IEMOCAP,Ses04F,exc,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro05\Ses01F_impro05_M004.wav,IEMOCAP,Ses01F,neu,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04F_impro07\Ses04F_impro07_F021.wav,IEMOCAP,Ses04F,exc,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1057_IOM_SAD_XX.wav,CREMA-D,1057,SAD,sad,train
C:\Code\Python\data\CREMA-D\AudioWAV\1008_IEO_ANG_MD.wav,CREMA-D,1008,ANG,angry,train
C:\Code\Python\data\CREMA-D\AudioWAV\1015_WSI_SAD_XX.wav,CREMA-D,1015,SAD,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session5\sentences\wav\Ses05F_impro04\Ses05F_impro04_M043.wav,IEMOCAP,Ses05F,neu,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03F_script01_3\Ses03F_script01_3_F027.wav,IEMOCAP,Ses03F,sad,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03F_script01_1\Ses03F_script01_1_F007.wav,IEMOCAP,Ses03F,neu,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session2\sentences\wav\Ses02M_impro03\Ses02M_impro03_M021.wav,IEMOCAP,Ses02M,hap,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04F_impro01\Ses04F_impro01_M014.wav,IEMOCAP,Ses04F,ang,angry,train
C:\Code\Python\data\CREMA-D\AudioWAV\1065_IWL_HAP_XX.wav,CREMA-D,1065,HAP,happy,train
C:\Code\Python\data\RAVDESS\Actor_17\03-01-04-01-02-01-17.wav,RAVDESS,17,04,sad,train
C:\Code\Python\data\RAVDESS\Actor_20\03-01-04-01-02-01-20.wav,RAVDESS,20,04,sad,train
C:\Code\Python\data\CREMA-D\AudioWAV\1089_TIE_ANG_XX.wav,CREMA-D,1089,ANG,angry,train
C:\Code\Python\data\CREMA-D\AudioWAV\1009_TIE_HAP_XX.wav,CREMA-D,1009,HAP,happy,train
C:\Code\Python\data\RAVDESS\audio_speech_actors_01-24\Actor_06\03-01-05-02-02-01-06.wav,RAVDESS,06,05,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session2\sentences\wav\Ses02M_script02_2\Ses02M_script02_2_M001.wav,IEMOCAP,Ses02M,neu,neutral,train
C:\Code\Python\data\RAVDESS\audio_speech_actors_01-24\Actor_24\03-01-03-02-01-02-24.wav,RAVDESS,24,03,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1044_IOM_ANG_XX.wav,CREMA-D,1044,ANG,angry,train
C:\Code\Python\data\RAVDESS\Actor_11\03-01-04-02-01-02-11.wav,RAVDESS,11,04,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03F_impro03\Ses03F_impro03_F009.wav,IEMOCAP,Ses03F,exc,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session1\sentences\wav\Ses01M_impro04\Ses01M_impro04_F022.wav,IEMOCAP,Ses01M,neu,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1034_IEO_NEU_XX.wav,CREMA-D,1034,NEU,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session5\sentences\wav\Ses05F_script02_2\Ses05F_script02_2_M035.wav,IEMOCAP,Ses05F,hap,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1045_ITS_SAD_XX.wav,CREMA-D,1045,SAD,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session5\sentences\wav\Ses05M_impro04\Ses05M_impro04_F007.wav,IEMOCAP,Ses05M,neu,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04F_script01_3\Ses04F_script01_3_M019.wav,IEMOCAP,Ses04F,hap,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session5\sentences\wav\Ses05F_impro08\Ses05F_impro08_M013.wav,IEMOCAP,Ses05F,neu,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1049_TAI_SAD_XX.wav,CREMA-D,1049,SAD,sad,train
C:\Code\Python\data\CREMA-D\AudioWAV\1024_IEO_HAP_HI.wav,CREMA-D,1024,HAP,happy,train
C:\Code\Python\data\RAVDESS\Actor_05\03-01-04-02-02-01-05.wav,RAVDESS,05,04,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03F_script01_3\Ses03F_script01_3_F030.wav,IEMOCAP,Ses03F,sad,sad,train
C:\Code\Python\data\RAVDESS\audio_speech_actors_01-24\Actor_23\03-01-05-02-02-02-23.wav,RAVDESS,23,05,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session5\sentences\wav\Ses05F_impro03\Ses05F_impro03_F058.wav,IEMOCAP,Ses05F,hap,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session1\sentences\wav\Ses01M_impro05\Ses01M_impro05_M005.wav,IEMOCAP,Ses01M,ang,angry,train
C:\Code\Python\data\CREMA-D\AudioWAV\1072_IEO_ANG_MD.wav,CREMA-D,1072,ANG,angry,train
C:\Code\Python\data\CREMA-D\AudioWAV\1062_IOM_NEU_XX.wav,CREMA-D,1062,NEU,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1063_IOM_NEU_XX.wav,CREMA-D,1063,NEU,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session2\sentences\wav\Ses02F_script01_3\Ses02F_script01_3_F023.wav,IEMOCAP,Ses02F,sad,sad,train
C:\Code\Python\data\CREMA-D\AudioWAV\1034_TAI_HAP_XX.wav,CREMA-D,1034,HAP,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1021_WSI_ANG_XX.wav,CREMA-D,1021,ANG,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04M_impro07\Ses04M_impro07_M004.wav,IEMOCAP,Ses04M,exc,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session2\sentences\wav\Ses02F_script02_2\Ses02F_script02_2_F021.wav,IEMOCAP,Ses02F,sad,sad,train
C:\Code\Python\data\CREMA-D\AudioWAV\1029_IWL_ANG_XX.wav,CREMA-D,1029,ANG,angry,train
C:\Code\Python\data\RAVDESS\Actor_12\03-01-03-02-01-01-12.wav,RAVDESS,12,03,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1068_ITS_SAD_XX.wav,CREMA-D,1068,SAD,sad,train
C:\Code\Python\data\CREMA-D\AudioWAV\1040_MTI_HAP_XX.wav,CREMA-D,1040,HAP,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1012_IEO_ANG_LO.wav,CREMA-D,1012,ANG,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session2\sentences\wav\Ses02M_script03_2\Ses02M_script03_2_F039.wav,IEMOCAP,Ses02M,ang,angry,train
C:\Code\Python\data\RAVDESS\Actor_22\03-01-02-02-01-02-22.wav,RAVDESS,22,02,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1041_TSI_NEU_XX.wav,CREMA-D,1041,NEU,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1042_IEO_HAP_LO.wav,CREMA-D,1042,HAP,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1091_ITH_SAD_XX.wav,CREMA-D,1091,SAD,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_M011.wav,IEMOCAP,Ses01F,ang,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03M_script01_3\Ses03M_script01_3_M016.wav,IEMOCAP,Ses03M,hap,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1075_ITS_HAP_XX.wav,CREMA-D,1075,HAP,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session2\sentences\wav\Ses02M_script03_2\Ses02M_script03_2_M011.wav,IEMOCAP,Ses02M,neu,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1084_IWW_NEU_XX.wav,CREMA-D,1084,NEU,neutral,train
C:\Code\Python\data\RAVDESS\Actor_14\03-01-04-01-02-02-14.wav,RAVDESS,14,04,sad,train
C:\Code\Python\data\CREMA-D\AudioWAV\1002_IOM_NEU_XX.wav,CREMA-D,1002,NEU,neutral,train
C:\Code\Python\data\RAVDESS\audio_speech_actors_01-24\Actor_12\03-01-04-01-02-02-12.wav,RAVDESS,12,04,sad,train
C:\Code\Python\data\CREMA-D\AudioWAV\1062_WSI_NEU_XX.wav,CREMA-D,1062,NEU,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03M_script01_3\Ses03M_script01_3_M040.wav,IEMOCAP,Ses03M,sad,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03M_impro04\Ses03M_impro04_M014.wav,IEMOCAP,Ses03M,neu,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1025_IEO_ANG_HI.wav,CREMA-D,1025,ANG,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session2\sentences\wav\Ses02F_script02_2\Ses02F_script02_2_M043.wav,IEMOCAP,Ses02F,hap,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_script01_3\Ses01F_script01_3_M004.wav,IEMOCAP,Ses01F,neu,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1029_MTI_NEU_XX.wav,CREMA-D,1029,NEU,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1080_MTI_SAD_XX.wav,CREMA-D,1080,SAD,sad,train
C:\Code\Python\data\CREMA-D\AudioWAV\1017_TIE_SAD_XX.wav,CREMA-D,1017,SAD,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04M_impro01\Ses04M_impro01_F018.wav,IEMOCAP,Ses04M,ang,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session5\sentences\wav\Ses05M_script02_2\Ses05M_script02_2_M016.wav,IEMOCAP,Ses05M,neu,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro04\Ses01F_impro04_M007.wav,IEMOCAP,Ses01F,neu,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session5\sentences\wav\Ses05M_impro05\Ses05M_impro05_M005.wav,IEMOCAP,Ses05M,neu,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1057_IEO_HAP_MD.wav,CREMA-D,1057,HAP,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1081_IWW_ANG_XX.wav,CREMA-D,1081,ANG,angry,train
C:\Code\Python\data\CREMA-D\AudioWAV\1078_IWL_SAD_XX.wav,CREMA-D,1078,SAD,sad,train
C:\Code\Python\data\CREMA-D\AudioWAV\1073_TAI_SAD_XX.wav,CREMA-D,1073,SAD,sad,train
C:\Code\Python\data\CREMA-D\AudioWAV\1071_IEO_HAP_MD.wav,CREMA-D,1071,HAP,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1047_TIE_ANG_XX.wav,CREMA-D,1047,ANG,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04F_impro07\Ses04F_impro07_F011.wav,IEMOCAP,Ses04F,exc,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04M_script01_1\Ses04M_script01_1_F035.wav,IEMOCAP,Ses04M,ang,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04F_script02_1\Ses04F_script02_1_F000.wav,IEMOCAP,Ses04F,neu,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03F_impro08\Ses03F_impro08_M006.wav,IEMOCAP,Ses03F,ang,angry,train
C:\Code\Python\data\RAVDESS\audio_speech_actors_01-24\Actor_01\03-01-05-02-02-02-01.wav,RAVDESS,01,05,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04F_impro04\Ses04F_impro04_M013.wav,IEMOCAP,Ses04F,neu,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1059_TSI_SAD_XX.wav,CREMA-D,1059,SAD,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session2\sentences\wav\Ses02M_impro05\Ses02M_impro05_F003.wav,IEMOCAP,Ses02M,neu,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1040_TIE_HAP_XX.wav,CREMA-D,1040,HAP,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1007_TAI_HAP_XX.wav,CREMA-D,1007,HAP,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1073_IWL_SAD_XX.wav,CREMA-D,1073,SAD,sad,train
C:\Code\Python\data\CREMA-D\AudioWAV\1080_IWL_NEU_XX.wav,CREMA-D,1080,NEU,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1078_TIE_HAP_XX.wav,CREMA-D,1078,HAP,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1014_IWL_ANG_XX.wav,CREMA-D,1014,ANG,angry,train
C:\Code\Python\data\CREMA-D\AudioWAV\1053_IEO_HAP_MD.wav,CREMA-D,1053,HAP,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1046_WSI_HAP_XX.wav,CREMA-D,1046,HAP,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04F_impro06\Ses04F_impro06_M014.wav,IEMOCAP,Ses04F,sad,sad,train
C:\Code\Python\data\CREMA-D\AudioWAV\1088_IWW_HAP_XX.wav,CREMA-D,1088,HAP,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1005_ITH_ANG_XX.wav,CREMA-D,1005,ANG,angry,train
C:\Code\Python\data\RAVDESS\audio_speech_actors_01-24\Actor_12\03-01-05-01-02-02-12.wav,RAVDESS,12,05,angry,train
C:\Code\Python\data\RAVDESS\Actor_06\03-01-03-01-01-02-06.wav,RAVDESS,06,03,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1015_TSI_HAP_XX.wav,CREMA-D,1015,HAP,happy,train
C:\Code\Python\data\RAVDESS\audio_speech_actors_01-24\Actor_11\03-01-04-02-02-02-11.wav,RAVDESS,11,04,sad,train
C:\Code\Python\data\CREMA-D\AudioWAV\1029_TIE_HAP_XX.wav,CREMA-D,1029,HAP,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1045_TIE_NEU_XX.wav,CREMA-D,1045,NEU,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04F_impro07\Ses04F_impro07_M023.wav,IEMOCAP,Ses04F,neu,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session1\sentences\wav\Ses01M_script03_2\Ses01M_script03_2_F026.wav,IEMOCAP,Ses01M,ang,angry,train
C:\Code\Python\data\RAVDESS\Actor_03\03-01-03-02-02-02-03.wav,RAVDESS,03,03,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04M_impro03\Ses04M_impro03_M029.wav,IEMOCAP,Ses04M,hap,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1030_MTI_SAD_XX.wav,CREMA-D,1030,SAD,sad,train
C:\Code\Python\data\CREMA-D\AudioWAV\1080_TSI_HAP_XX.wav,CREMA-D,1080,HAP,happy,train
C:\Code\Python\data\RAVDESS\Actor_19\03-01-04-01-01-02-19.wav,RAVDESS,19,04,sad,train
C:\Code\Python\data\RAVDESS\Actor_08\03-01-05-02-02-02-08.wav,RAVDESS,08,05,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session5\sentences\wav\Ses05F_script03_2\Ses05F_script03_2_M014.wav,IEMOCAP,Ses05F,ang,angry,train
C:\Code\Python\data\RAVDESS\Actor_13\03-01-04-01-01-02-13.wav,RAVDESS,13,04,sad,train
C:\Code\Python\data\CREMA-D\AudioWAV\1064_IWW_NEU_XX.wav,CREMA-D,1064,NEU,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03M_impro02\Ses03M_impro02_F030.wav,IEMOCAP,Ses03M,sad,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session1\sentences\wav\Ses01M_script01_1\Ses01M_script01_1_M020.wav,IEMOCAP,Ses01M,ang,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04F_impro04\Ses04F_impro04_M031.wav,IEMOCAP,Ses04F,neu,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1066_IWL_ANG_XX.wav,CREMA-D,1066,ANG,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04F_script02_1\Ses04F_script02_1_M034.wav,IEMOCAP,Ses04F,exc,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session1\sentences\wav\Ses01M_impro07\Ses01M_impro07_F003.wav,IEMOCAP,Ses01M,exc,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1064_TIE_HAP_XX.wav,CREMA-D,1064,HAP,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session5\sentences\wav\Ses05F_script03_1\Ses05F_script03_1_M027.wav,IEMOCAP,Ses05F,exc,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro01\Ses01F_impro01_F014.wav,IEMOCAP,Ses01F,neu,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session2\sentences\wav\Ses02M_impro02\Ses02M_impro02_F007.wav,IEMOCAP,Ses02M,sad,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session5\sentences\wav\Ses05F_impro03\Ses05F_impro03_M038.wav,IEMOCAP,Ses05F,hap,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03M_impro05b\Ses03M_impro05b_F022.wav,IEMOCAP,Ses03M,neu,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1061_TAI_NEU_XX.wav,CREMA-D,1061,NEU,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1052_IOM_NEU_XX.wav,CREMA-D,1052,NEU,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1041_IEO_SAD_HI.wav,CREMA-D,1041,SAD,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session2\sentences\wav\Ses02F_impro06\Ses02F_impro06_M012.wav,IEMOCAP,Ses02F,neu,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro06\Ses01F_impro06_F020.wav,IEMOCAP,Ses01F,sad,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04F_script01_1\Ses04F_script01_1_F030.wav,IEMOCAP,Ses04F,ang,angry,train
C:\Code\Python\data\RAVDESS\audio_speech_actors_01-24\Actor_19\03-01-03-01-02-02-19.wav,RAVDESS,19,03,happy,train
C:\Code\Python\data\RAVDESS\Actor_06\03-01-03-02-02-02-06.wav,RAVDESS,06,03,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1004_ITS_HAP_XX.wav,CREMA-D,1004,HAP,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1020_IEO_HAP_MD.wav,CREMA-D,1020,HAP,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session1\sentences\wav\Ses01M_impro03\Ses01M_impro03_F005.wav,IEMOCAP,Ses01M,exc,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro07\Ses01F_impro07_F010.wav,IEMOCAP,Ses01F,exc,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03F_script01_1\Ses03F_script01_1_M050.wav,IEMOCAP,Ses03F,neu,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1007_IWW_NEU_XX.wav,CREMA-D,1007,NEU,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1086_TIE_SAD_XX.wav,CREMA-D,1086,SAD,sad,train
C:\Code\Python\data\CREMA-D\AudioWAV\1018_MTI_HAP_XX.wav,CREMA-D,1018,HAP,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03M_script01_3\Ses03M_script01_3_F031.wav,IEMOCAP,Ses03M,sad,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03M_impro05a\Ses03M_impro05a_F011.wav,IEMOCAP,Ses03M,neu,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1061_IEO_HAP_MD.wav,CREMA-D,1061,HAP,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1031_IEO_ANG_LO.wav,CREMA-D,1031,ANG,angry,train
C:\Code\Python\data\RAVDESS\audio_speech_actors_01-24\Actor_09\03-01-02-02-01-01-09.wav,RAVDESS,09,02,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1066_TIE_NEU_XX.wav,CREMA-D,1066,NEU,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1024_IEO_NEU_XX.wav,CREMA-D,1024,NEU,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1081_IEO_HAP_MD.wav,CREMA-D,1081,HAP,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03M_impro06\Ses03M_impro06_F018.wav,IEMOCAP,Ses03M,sad,sad,train
C:\Code\Python\data\RAVDESS\audio_speech_actors_01-24\Actor_18\03-01-04-01-02-01-18.wav,RAVDESS,18,04,sad,train
C:\Code\Python\data\CREMA-D\AudioWAV\1079_ITH_SAD_XX.wav,CREMA-D,1079,SAD,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session1\sentences\wav\Ses01M_script02_2\Ses01M_script02_2_F016.wav,IEMOCAP,Ses01M,ang,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03M_impro03\Ses03M_impro03_F006.wav,IEMOCAP,Ses03M,exc,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1035_IOM_SAD_XX.wav,CREMA-D,1035,SAD,sad,train
C:\Code\Python\data\CREMA-D\AudioWAV\1089_IWW_NEU_XX.wav,CREMA-D,1089,NEU,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04M_impro06\Ses04M_impro06_M015.wav,IEMOCAP,Ses04M,sad,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04M_script01_1\Ses04M_script01_1_F037.wav,IEMOCAP,Ses04M,ang,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session5\sentences\wav\Ses05M_script03_2\Ses05M_script03_2_F040.wav,IEMOCAP,Ses05M,ang,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session5\sentences\wav\Ses05M_impro02\Ses05M_impro02_F021.wav,IEMOCAP,Ses05M,sad,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03M_impro07\Ses03M_impro07_F012.wav,IEMOCAP,Ses03M,hap,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03F_script01_1\Ses03F_script01_1_F046.wav,IEMOCAP,Ses03F,neu,neutral,train
C:\Code\Python\data\RAVDESS\audio_speech_actors_01-24\Actor_09\03-01-05-01-01-02-09.wav,RAVDESS,09,05,angry,train
C:\Code\Python\data\CREMA-D\AudioWAV\1059_TAI_HAP_XX.wav,CREMA-D,1059,HAP,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session2\sentences\wav\Ses02F_script03_2\Ses02F_script03_2_M001.wav,IEMOCAP,Ses02F,neu,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1010_IOM_HAP_XX.wav,CREMA-D,1010,HAP,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03M_script03_2\Ses03M_script03_2_M038.wav,IEMOCAP,Ses03M,ang,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session5\sentences\wav\Ses05M_script01_3\Ses05M_script01_3_M022.wav,IEMOCAP,Ses05M,neu,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_script02_1\Ses01F_script02_1_M023.wav,IEMOCAP,Ses01F,neu,neutral,train
C:\Code\Python\data\RAVDESS\Actor_14\03-01-03-01-02-02-14.wav,RAVDESS,14,03,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03F_impro03\Ses03F_impro03_M000.wav,IEMOCAP,Ses03F,exc,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1084_TIE_ANG_XX.wav,CREMA-D,1084,ANG,angry,train
